"";"code_muni";"territorialidades";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x15";"x16";"x17";"x18";"x11/pop";"x12/pop";"x13/pop";"x14/pop"
"1";4200101;"abelardo luz";43,97;81,85;82,98;10;36;13,56;5845;5,64;5135,08122798623;22,4;0,579;0,72;88,19;1792,52440582512;3,00066909975669;0,63978102189781;2,23534063260341
"2";4200408;"agua doce";46,42;95,14;95,01;3;40;9,28;3105;5,34;6897,50124572017;22;0,627;0,59;96,38;2174,06491720501;2,47902966535145;0,403185737249744;2,72965073798042
"3";4200507;"aguas de chapeco";38,08;94,62;84,46;2;NA;14,3;2705;2,56;3381,55729611353;23,6;0,582;0,6;87,01;1650,23400054711;1,6397440332065;0,257177447250086;1,94949844344517
"4";4200556;"aguas frias";16,41;78,86;92,2;1;NA;9,43;1189;0,91;4452,12994236217;25,3;0,6;0,55;100;3221,55772139373;1,8819801980198;0,272079207920792;1,89188118811881
"5";4200754;"alto bela vista";25,83;99,14;93,76;2;NA;4,96;1001;2,31;5895,87464623408;22,6;0,619;0,42;100;4829,6836904409;2,00787401574803;0,915701713756369;2,50069476609541
"6";4200804;"anchieta";34,25;97,53;89,34;2;21;11,31;3187;3,06;3918,41665689779;24;0,563;0,46;96,51;1814,48698698723;1,76195149306042;0,557689611664096;1,61334641805692
"7";4201273;"arabuta";23,34;97,78;80,89;3;28;5,35;2363;2,79;6928,9968740806;24,3;0,623;0,52;89,98;2701,27010390387;1,69495192307692;0,2875;2,51899038461538
"8";4201653;"arvoredo";17,83;92,75;85,2;1;NA;17,34;1199;3,15;5011,72523821197;19;0,569;0,55;100;3749,98315364475;1,69154013015184;0,249023861171367;1,84381778741866
"9";4202081;"bandeirante";26,12;91,32;72,59;2;NA;12,6;1634;2,3;3288,65396714506;29,7;0,548;0,66;NA;2610,0181195473;1,21277935158955;0,217500786905886;1,49260308467107
"10";4202099;"barra bonita";12,09;100;72,42;2;NA;12,58;1100;1,22;4237,57800866334;29,7;0,543;0,38;70,85;3742,64952852216;1,61614730878187;0,281869688385269;2,41831916902738
"11";4202156;"belmonte";39,11;92,67;86,95;1;NA;10,96;1179;1,21;3950,2032094707;26,4;0,559;0,51;80,52;3503,3874300493;1,91035548686244;0,24806800618238;1,95826893353941
"12";4202537;"bom jesus";48,34;93,32;87,34;NA;NA;16;705;20,59;5687,15508960216;26,4;0,549;0,53;94,31;5016,73875654032;1,92766373411535;0,208211143695015;2,56158357771261
"13";4202578;"bom jesus do oeste";17,49;99,44;91,97;1;NA;7,47;1184;0,85;4465,31461836458;19;0,569;0,44;90,89;3648,18148185601;1,83255813953488;0,26093023255814;2,1106976744186
"14";4203105;"caibi";48,16;97,34;92,24;6;33;9,99;3257;4,13;4230,56036412413;19,5;0,631;0,55;90,23;1813,55207656328;2,60119609694681;0,607491344035253;1,98221592697513
"15";4203501;"campo ere";55,6;89,86;82,59;7;124;16,62;4038;13,75;5712,68165564075;26,9;0,56;0,59;81,15;1934,98528878162;3,03834637303197;0,923500434656621;2,04404520428861
"16";4203600;"campos novos";78,51;97,74;94,32;20;201;10,36;12010;6,75;6802,14589254701;20,1;0,617;0,58;93,63;2149,31277956041;4,14998781718821;1,25079188276654;2,33816004733893
"17";4203907;"capinzal";77,47;98,89;98,24;11;85;6,65;8407;6,78;15132,0897851018;17,9;0,628;0,48;97,73;2613,19492567824;4,01633675770484;8,56732648459033;0,629766975695314
"18";4204004;"catanduvas";63,97;99,41;95,8;5;36;10,08;3613;8,92;16497,8528829163;27,6;0,622;0,58;98,8;2421,3515301024;4,32420697141479;10,130623567724;0,668073814980099
"19";4204103;"caxambu do sul";39,03;90,6;87,84;4;28;14,9;2392;2,25;4421,43777272205;22,8;0,623;0,68;80,21;2288,87047549839;1,97396921907657;0,343340300209006;2,66216986509595
"20";4204152;"celso ramos";17,46;96,37;90,78;1;NA;10,89;1126;1,34;4582,27576727497;28,1;0,562;0,4;92,84;4421,12817763808;1,61638537271449;0,29676511954993;1,78023909985935
"21";4204202;"chapeco";91,58;97,9;94,35;99;378;7,11;69977;10,13;12183,676441737;20,4;0,682;0,57;96,83;2164,55078911396;4,63846305633237;4,21883143835011;0,194996155599556
"22";4204301;"concordia";71,77;99,38;95,29;65;175;5,92;31222;5,9;10792,6097072482;16,9;0,71;0,54;98,16;2307,25813843067;4,40381870658759;4,92129468108725;0,872101874464778
"23";4204350;"cordilheira alta";9,8;98,93;93,2;2;NA;10,73;1496;3,56;7336,76751040003;25,8;0,651;0,56;96,8;3980,81193059612;6,82153249272551;0,670546395085677;1,52150016165535
"24";4204400;"coronel freitas";42,31;97,12;91,49;4;27;10,89;5041;1,6;5525,25719638375;24,9;0,606;0,52;93,2;1959,47792532383;2,09631861406647;0,945014593729404;1,32991243762358
"25";4204459;"coronel martins";19,18;92,57;84,77;2;NA;13,84;1059;3,26;4472,17153551182;24,5;0,588;0,58;83,27;3713,89977783876;1,9857621440536;0,233249581239531;1,84380234505863
"26";4204707;"cunha pora";51,69;97,84;94,87;6;53;7,21;5219;3,67;4084,82455839127;23,6;0,635;0,53;95,16;1555,88199719452;3,85150063544824;0,479616775833415;1,77632222113599
"27";4204756;"cunhatai";18,39;100;71,92;1;NA;4,59;1055;NA;5795,08966812585;13,5;0,651;0,51;82,62;4318,46076413655;1,94511525795829;0,336992316136114;2,41877058177827
"28";4204905;"descanso";42,56;98,37;92,8;4;41;9,02;4656;2,83;4517,834531103;25,7;0,609;0,49;91,6;1869,21066560407;2,87578047978968;0,492605980939862;1,73195311644211
"29";4205001;"dionisio cerqueira";60,42;91,11;78,69;10;53;12,77;6121;7,53;3049,8464791718;25,7;0,59;0,61;89,67;1554,88420403078;2,07312280701754;0,291719298245614;0,878947368421053
"30";4205175;"entre rios";26,94;69,06;52,71;NA;NA;22,4;1010;2,55;2908,07762296346;34;0,487;0,63;40,12;3231,89492116777;1,48278335724534;0,239956958393113;0,738163558106169
"31";4205209;"erval velho";54,64;99,04;95,8;1;NA;11,32;1940;6,22;5962,62450550475;25;0,634;0,49;90,14;2329,9324478903;2,16561255563364;0,65073787772312;1,93230264698993
"32";4205308;"faxinal dos guedes";65,42;95,83;89,4;3;50;10,31;4728;6,16;10355,141130054;24,8;0,656;0,61;96,89;1993,17429920574;2,37104114423702;1,48509334076344;1,92393424352187
"33";4205357;"flor do sertao";12,1;96,72;83,44;NA;NA;16,14;738;NA;4001,79081414205;30,5;0,588;0,57;67,38;5079,35345401455;1,70781637717122;0,235732009925558;2,30707196029777
"34";4205431;"formosa do sul";32,7;88,81;80,79;2;NA;11,43;1376;2,91;4087,72780513625;24,9;0,6;0,66;80,32;3066,62694531666;1,79816513761468;0,284403669724771;1,55155963302752
"35";4205605;"galvao";57,56;91,21;87,25;2;27;17,73;2035;3,23;3769,27990693154;22,3;0,626;0,62;73,13;2302,28138459726;2,14616292798111;0,289256198347107;2,15466351829988
"36";4206405;"guaraciaba";39,55;97,58;89,93;6;44;7,07;5586;2,95;4505,15511644529;21,4;0,622;0,47;88,76;1433,14773313107;1,85124116687806;0,535241891647038;1,78438122848342
"37";4206603;"guaruja do sul";44,68;99,59;90,87;2;24;11,39;2219;6,87;4745,88404316843;18,7;0,65;0,7;93,8;2116,29968439812;2,07453151618399;0,794080068143101;1,30813458262351
"38";4206652;"guatambu";20,91;93,15;85,22;3;NA;17,35;2104;4,17;5594,81936265912;22,8;0,576;0,49;95,37;2493,60735146363;1,51190982560612;0,735857082092726;1,55401956614207
"39";4206702;"herval d'oeste";85,51;98,5;97,54;3;23;7,54;9428;11,49;7041,39477624489;17,8;0,654;0,49;97,81;1674,52757814412;2,65675513869487;3,35955897026542;0,430802235082818
"40";4206801;"ibicare";34,57;100;96,8;2;27;7,06;1770;3,21;6559,04829497123;20,6;0,618;0,51;98,32;2547,66570078209;2,2667967660998;0,471982157792027;2,29439643155841
"41";4207601;"ipira";44,47;97,21;89,99;4;NA;6,88;2648;2,1;4637,54866688826;26,1;0,64;0,46;96,98;2254,76844865123;1,80698935529223;0,287808796947178;1,30206868849167
"42";4207650;"ipora do oeste";36,19;98,44;93,81;3;28;4,39;4272;3,04;4799,55289722913;25,7;0,603;0,48;92,21;1794,62897024455;2,43760314840675;0,50958486733528;2,04265583343913
"43";4207684;"ipuacu";15,8;77,93;62,81;4;NA;17,62;2635;2,87;4567,87884869815;35,2;0,514;0,56;83,15;2271,43729487097;1,99460960470434;0,228683436785364;1,84972231296962
"44";4207700;"ipumirim";35,96;99,14;93,39;10;26;8,58;3630;3,12;8866,2080056938;20,9;0,617;0,55;99,36;2290,20799263035;2,46908932966556;2,25307658896771;1,91197336035906
"45";4207759;"iraceminha";26,61;93,18;89,32;3;NA;10,62;2633;1,85;3964,19896755665;23,1;0,606;0,44;67,49;2109,51216174844;1,53723867595819;0,24455574912892;2,38523519163763
"46";4207809;"irani";58,41;97,38;93,29;4;43;9,5;3590;4,54;4910,07789373733;21;0,605;0,62;96,49;1836,01500758851;1,76365961404325;0,318763078353871;1,42501743780516
"47";4207858;"irati";18,71;83,54;84,71;2;NA;16,59;1193;1,02;3614,44463752751;25,3;0,547;0,69;82,69;3831,87342909084;1,96503178928247;0,277020890099909;2,20572207084469
"48";4208005;"ita";50,59;99;94,5;9;38;7,74;3307;6,7;10872,4968967586;18,3;0,66;0,55;98,97;4893,6482813073;2,89872856298049;1,52853341218214;2,61945594322886
"49";4208401;"itapiranga";38,45;97,97;93,09;6;51;4,31;7206;4,2;8797,19896358905;18;0,67;0,63;99,45;2533,78290956447;3,24553507643949;3,99257036719531;1,79732818974139
"50";4208609;"jabora";32,47;99,4;93;4;27;10,15;2108;1,33;8064,26498798457;25,4;0,609;0,5;96,67;3144,83514590956;2,06175488793515;0,604196471149261;2,47687172150691
"51";4208955;"jardinopolis";40,87;93,27;91,98;1;NA;9,7;932;3,23;5132,9635924382;28,8;0,591;0,48;89,26;3922,66137501381;1,87763289869609;0,259779338014042;1,95536609829488
"52";4209003;"joacaba";90,12;99,55;98,82;30;133;4,81;11251;8,56;10368,4759090486;18,3;0,741;0,57;97,19;3154,03680069;8,44153577661431;3,70884235020361;0,419346796310147
"53";4209177;"jupia";32,03;88,48;78,38;1;NA;15,43;1149;1,88;4552,22227335212;24,4;0,582;0,61;74,78;3500,74476996747;1,59684684684685;0,233333333333333;2,01621621621622
"54";4209201;"lacerdopolis";45,24;100;98,75;2;NA;6,72;1059;0,68;9780,26740745283;16,4;0,7;0,52;98,06;4266,57312671547;2,46157386102163;0,412793373216751;2,85319834330419
"55";4209458;"lajeado grande";30,28;88,65;88,22;1;NA;9,43;769;4,47;6958,20357568953;16,8;0,667;0,42;100;5542,7647834667;2,33651399491094;0,235368956743003;2,66094147582697
"56";4209854;"lindoia do sul";27,09;96,67;93,28;4;23;8,46;2394;1,59;8084,24833299782;25,3;0,659;0,65;100;2639,61329586492;1,91285626409678;0,559975394709863;2,19315152757843
"57";4210035;"luzerna";71,14;100;98,95;1;NA;3,96;2734;5,62;5114,64035329434;15,4;0,697;0,5;98,4;2567,45469161814;2,4305455850682;1,26525484565686;0,879396984924623
"58";4210506;"maravilha";76,81;98,93;96,34;14;86;6,99;9245;6,14;5496,7722446696;18,9;0,685;0,51;96,93;1857,5728113525;3,11943199611252;2,44554829652827;0,820905998596188
"59";4210555;"marema";35,5;90,25;88,29;1;NA;13;1390;4,56;8299,00975146807;15,7;0,634;0,5;94,38;3775,52653514874;2,17842323651452;0,21878536401358;2,640513013957
"60";4210902;"modelo";54,68;95,4;93,08;3;36;8,27;2018;3,42;3789,70707670353;19,5;0,63;0,52;90,36;2513,70757200214;2,76743002544529;0,678625954198473;1,13027989821883
"61";4211009;"mondai";46,39;97,88;83,93;10;47;6,27;4695;1,47;5121,73086707934;23,9;0,607;0,53;94,68;1947,33474813904;2,92896425297892;1,33054537121907;2,3769477543538
"62";4211405;"nova erechim";48,55;99,52;96,05;2;29;8,16;1784;1,53;6044,59863869475;18;0,659;0,5;93,39;4051,19894142622;2,54671182613604;1,03415184871578;1,45865086085238
"63";4211454;"nova itaberaba";9,99;95,88;51,45;1;NA;14,69;2116;1,12;5055,99012369888;22,8;0,589;0,59;94,23;2752,92267210456;1,61137218045113;0,523261278195489;1,94125939849624
"64";4211652;"novo horizonte";23,32;94,28;89,65;1;NA;12,71;1733;1,01;5273,84187083088;26,9;0,56;0,53;81,62;3162,53322613081;1,66591422121896;0,294098677845856;2,56530151564012
"65";4211850;"ouro verde";26,57;99,69;96,27;1;NA;11,22;864;2,58;8720,06751309639;24,6;0,636;0,64;74,42;4253,03250927934;3,27848639455782;0,472789115646259;4,50977891156463
"66";4211876;"paial";12,62;93,08;73,27;NA;NA;11;880;0,85;4940,38794473531;24,2;0,548;0,47;82,86;4042,54489550369;1,63888888888889;0,238304093567251;1,91081871345029
"67";4212007;"palma sola";38,9;93,64;85,59;5;43;12,77;3737;8,81;4326,71005520865;26;0,571;0,58;96,6;1655,69297327417;2,1480623933707;0,869729466244212;1,61771874238362
"68";4212106;"palmitos";49,93;97,36;90,85;9;91;8,66;8406;3,47;4175,49981527981;22,6;0,619;0,56;82,45;1497,73331841578;4,03074716228015;0,378321067731071;1,90626169390046
"69";4212239;"paraiso";27,15;98,03;83,06;2;NA;12,48;2249;0,99;3808,3209657313;20,2;0,547;0,53;87,42;2136,99577342994;1,43807339449541;0,221226021684737;1,85654712260217
"70";4212270;"passos maia";15,7;73,5;78,54;5;NA;16,91;1893;5,56;4133,91817678245;27,2;0,543;0,57;93,16;2379,57913134329;1,42221289103506;0,532437539365946;1,27125761074953
"71";4212601;"peritiba";42,15;100;96,62;2;35;4,7;1641;6,52;5825,12143907291;17,6;0,655;0,45;95,71;3030,29746810461;2,22352941176471;0,860681114551084;1,73684210526316
"72";4212908;"pinhalzinho";75,37;97,19;96,7;2;46;7,78;6011;5,09;5219,72921477018;16,7;0,663;0,53;93,9;1845,63210626386;3,70273551311104;1,71989316931046;1,01885723535125
"73";4213104;"piratuba";46,63;94,84;78,19;2;NA;4,97;2858;3,56;3456,32802065501;23;0,6;0,51;86,56;2104,58229543926;2,41001376462491;2,54731589814178;0,955953200275293
"74";4213153;"planalto alegre";30,14;98,28;88,96;1;NA;13,87;1241;0,31;3800,53154336236;19;0,664;0,53;96,97;3558,44729922789;2,04608482871126;0,505709624796085;1,95636215334421
"75";4213401;"ponte serrada";68,46;95,74;92,93;12;75;12,73;4029;9,21;5242,64773340972;31,2;0,566;0,61;96,66;1695,60122117535;2,28093930499006;0,674462645582805;2,34333869898684
"76";4214151;"princesa";21,74;88,31;82,18;1;NA;11,63;1300;3,32;4053,12642918843;23,6;0,535;0,52;60,71;3242,45545626947;1,35438193647149;0,258323765786452;2,13853807883659
"77";4214201;"quilombo";43,75;95,17;92,17;5;53;10,89;5170;3,8;7382,86546346577;26,5;0,614;0,61;83,37;2153,48824766542;2,51676602086438;2,46739940387481;1,41374813710879
"78";4215075;"riqueza";24,72;96,33;82,64;4;NA;11,23;2797;2;3575,96741507375;22,6;0,606;0,52;82,97;1976,55867869328;1,70054200542005;0,347657762291909;2,10143244289586
"79";4215208;"romelandia";32,66;91,61;84,22;2;28;11,23;3162;2,76;3338,04613604859;29,4;0,534;0,47;65,81;1753,38331525959;1,48775227237714;0,386535202588199;1,52642119858265
"80";4215356;"saltinho";20,73;81,2;73,05;NA;NA;17,52;1939;0,81;2812,01900582372;30,5;0,535;0,54;58,53;2234,55888273997;1,30456026058632;0,198929734760354;1,30595625872499
"81";4215554;"santa helena";25,57;97,34;88,92;1;NA;9,86;1323;0,29;4133,90019288046;18,7;0,608;0,5;93,63;3234,81475989113;1,82843894899536;0,53902627511592;1,92040185471406
"82";4215687;"santa terezinha do progresso";12,47;90,91;70,96;NA;NA;15,93;1605;1,11;2406,78874113934;26,9;0,551;0,53;NA;2374,46182049707;1,08665105386417;0,190866510538642;1,19584309133489
"83";4215695;"santiago do sul";30,72;93,35;85,75;NA;NA;13,05;768;0,34;6202,2355026887;26,9;0,584;0,57;27,6;4522,30626177922;2,18808962264151;0,246462264150943;2,81191037735849
"84";4215752;"sao bernardino";16,85;90,21;80,89;NA;NA;13,38;1505;1,72;3733,88361219093;28,6;0,522;0,6;37,47;2760,96781465689;1,49872611464968;0,219426751592357;2,07229299363057
"85";4216008;"sao carlos";57,1;97,13;92,27;7;68;7,42;4971;3,13;4501,67276398916;19,4;0,671;0,64;87,03;1682,38676188186;2,50341734301581;0,669158479282358;1,38850918410935
"86";4216107;"sao domingos";56,92;96,52;84,42;3;41;11,38;4327;5,65;4164,73312004241;22,7;0,661;0,63;86,27;1894,94275233621;3,30020964360587;0,445283018867925;1,87651991614256
"87";4216255;"sao joao do oeste";25,81;99,01;98,13;2;26;0,91;3045;1,58;5669,32292535867;20,2;0,643;0,46;84,28;2305,68842473083;1,94213162895146;0,698220763517015;2,62083261357747
"88";4216701;"sao jose do cedro";48,68;96,58;89,21;7;42;9,05;7286;4,03;4646,03241817172;19,1;0,627;0,55;89,83;1509,81211739971;2,39874250621436;0,851659599356631;1,37001023541453
"89";4216909;"sao lourenco do oeste";68,24;96,56;91,2;20;157;9,82;9409;3,84;6559,78352342567;21,9;0,655;0,54;89,83;1801,1945448313;2,78439456405558;2,47915712322492;1,00702397312567
"90";4217154;"sao miguel da boa vista";16,4;93,79;82,06;1;NA;13,01;1034;0,52;5615,61290352353;30,5;0,548;0,54;65,6;3753,5486697673;1,49653121902874;0,211100099108028;1,75569871159564
"91";4217204;"sao miguel do oeste";84,74;98,99;79,91;31;178;7,19;16249;7,16;5255,59027159548;15,4;0,705;0,51;93,02;1404,97368490636;3,88488429649796;2,02790496225715;0,337953223610939
"92";4217303;"saudades";34,8;98,2;89,68;4;39;5,21;4567;1,08;8154,7467696015;18,8;0,635;0,5;93,67;2087,85516450718;2,44233541566555;3,06234983181163;1,96047573282076
"93";4217501;"seara";62,26;98,26;90,51;14;35;7,36;8470;5,42;14613,1026293821;14,8;0,663;0,5;95,1;2223,9991584712;3,83323222518806;8,04980587236108;1,36653724824072
"94";4217550;"serra alta";36,07;97,18;82,17;1;NA;9,9;1667;1,76;3969,96213564574;20,6;0,612;0,43;99,5;2882,25417973027;1,88558558558559;0,506006006006006;1,44474474474474
"95";4217758;"sul brasil";23,88;90,86;83,63;1;NA;12,65;1488;0,7;3791,96222327863;23,1;0,55;0,55;62,45;2968,53144384127;1,48812580231065;0,202182284980745;1,83504492939666
"96";4217956;"tigrinhos";11,34;96,7;83,03;1;NA;13,88;1112;NA;4444,99626592517;25,8;0,538;0,43;NA;4232,38511156396;1,62353567625133;0,19062832800852;2,46166134185304
"97";4218509;"treze tilias";60,06;97,51;96,99;3;18;6,8;2407;3,51;12961,8988146738;19,5;0,668;0,55;100;3108,68610136616;3,86301652892562;7,8004132231405;1,46528925619835
"98";4218756;"tunapolis";25,48;99,22;95,08;3;27;3,04;2525;1,49;4972,40777846362;19,1;0,637;0,49;96,74;2396,50823873331;1,86183797362361;0,547833368222734;2,24241155536948
"99";4218855;"uniao do oeste";34,27;94,56;88,46;1;NA;12,58;1757;3,02;5558,10365300583;29,7;0,608;0,57;92,42;2881,25238433656;1,78708345620761;0,298731937481569;1,62724859923326
"100";4219101;"vargeao";39,14;93,79;90,92;2;5;10,75;1646;3,18;5691,19694672824;24,5;0,64;0,62;98,42;2963,79946660034;2,57827566647759;1,36982416335791;1,81338627339762
"101";4219150;"vargem";20,19;89,32;86,89;1;NA;11,62;1358;4,11;3692,09823446602;25;0,531;0,55;95,33;2711,1015399361;1,50046511627907;0,393178294573643;1,84248062015504
"102";4219176;"vargem bonita";44,47;98,75;94,19;8;22;9,17;2056;5,63;12955,1735110458;25;0,596;0,49;99,26;3185,5069813438;3,22431174873982;5,92729740209383;1,47731678945328
"103";4219507;"xanxere";86,52;97,68;95,41;19;175;8,24;17648;10,78;5891,5997654646;20,3;0,674;0,54;96,66;1628,87728239284;4,32178257500868;1,99703438510246;0,728980202516765
"104";4219606;"xavantina";21,48;98,55;88,07;5;28;9,32;2468;1,59;11973,6755515431;17,3;0,653;0,46;98,29;2958,95722944787;2,17257039055404;0,31653042688465;2,84423251589464
"105";4219705;"xaxim";70,25;97,09;92,79;11;47;9,56;11200;8,06;8748,69274345919;22,4;0,652;0,58;98,7;2076,43117675268;4,36579603622523;3,61184757404734;0,90484315526972
"106";4219853;"zortea";77,97;96,77;97,84;1;NA;7,67;1079;3,57;4459,78189564271;14,4;0,586;0,42;99,12;4149,83725633832;1,96885681731865;0,405241169768325;2,09115077857957
